,attraction_id,attraction_name,total_upcoming_attraction_events,upcoming_attraction_ticketmaster_events,attraction_genre
0,K8vZ91718nV,The Spinners,13,11,R&B
1,K8vZ91718zf,WWE,66,53,Wrestling
2,K8vZ9172Ln7,The Weeknd,29,9,Hip-Hop/Rap
3,K8vZ9171FkV,Red Hot Chili Peppers,31,21,Rock
4,K8vZ917544V,Maroon 5,40,19,Rock
5,K8vZ91754JV,Wicked (Touring),344,64,Theatre
6,K8vZ91716MV,Goo Goo Dolls,29,26,Rock
7,K8vZ91710df,Keith Urban,24,24,Country
8,K8vZ9174qlV,Morgan Wallen,64,54,Country
9,K8vZ9171CG7,Foreigner,59,53,Rock
10,K8vZ9171Cx0,KISS,7,NA,Rock
11,K8vZ9175iO0,Miranda Lambert,26,26,Country
12,K8vZ9172Sl7,The Book of Mormon (Touring),319,54,Theatre
13,K8vZ9175MQf,Chris Brown,21,10,R&B
14,K8vZ9175DY0,Paramore,45,40,Rock
15,K8vZ917Gp10,Pitbull,7,7,Pop
16,K8vZ91794MV,Bob Weir And Wolf Bros,25,21,Rock
17,K8vZ9172bCf,alt-J,11,10,Undefined
18,K8vZ917GlEf,Nate Bargatze,43,32,Comedy
19,K8vZ917bZLV,Dude Perfect,25,20,Family
20,K8vZ917Q3M0,Yeat,35,27,Hip-Hop/Rap
21,K8vZ917CCl7,Banda MS,13,10,World
22,K8vZ91713C7,Bush,18,16,Rock
23,K8vZ9172XPV,Seven Lions,49,32,Dance/Electronic
24,K8vZ917f3T7,Disney's Aladdin (Touring),184,83,Theatre
25,K8vZ917Q-Z0,Rockzilla Tour,16,16,Alternative
26,K8vZ917bYhV,Six (Touring),214,214,Theatre
27,K8vZ917GPQ7,Chris Young,3,3,Country
28,K8vZ9174hA7,A Boogie Wit Da Hoodie,25,18,Hip-Hop/Rap
29,K8vZ917187f,The Beach Boys,17,11,Rock
30,K8vZ917p8j7,Masego,20,15,Hip-Hop/Rap
31,K8vZ91712If,REO Speedwagon,25,16,Rock
32,K8vZ9179No7,Frozen (Touring),102,102,Theatre
33,K8vZ917KbD7,EPIK HIGH,19,18,Hip-Hop/Rap
34,K8vZ9179G57,City Morgue,19,17,Hip-Hop/Rap
35,K8vZ9179LdV,HARDY,51,38,Country
36,K8vZ91718C0,Buddy Guy,47,42,Blues
37,K8vZ9171CVV,Jason Mraz,2,2,Rock
38,K8vZ9171a30,Travis Tritt,16,13,Country
39,K8vZ9175M60,Ricky Gervais,4,4,Comedy
40,K8vZ9171uV7,Bret Michaels,15,14,Rock
41,K8vZ9171t87,Brian Regan,56,40,Comedy
42,K8vZ917_RLf,The Taylor Party: Taylor Swift Night,33,28,Dance/Electronic
43,K8vZ917fQxV,Leanne Morgan,27,19,Comedy
44,K8vZ9171jXf,Tenacious D,12,5,Rock
